,Unnamed: 0,Latitude,Longitude,Radius,Volume,Density,Mass,Radiated Energy,Impact Energy
0,0,29.0,-7.55,1.75,22.45220833333333,2.4,106.8937168392864,8723.24857856,0.988
1,1,-23.9833,121.5667,9.5,3591.8296666666665,5.0,1392.0481938221087,45810.04148736,4.26
2,2,49.7667,-95.1833,1.22,7.607192554666666,2.95,387.7908937891035,6176.6762496,0.966
3,3,-22.6167,135.2,0.085,0.0025727743333333,2.95,1146.622135404284,297.61810432,0.0924
4,4,57.3667,16.25,0.6,0.9048959999999998,2.95,3260.0431430794265,2728.87676928,0.6060000000000001
5,5,52.4833,16.9,0.05,0.0005236666666666,2.4,4583.068109484404,216.7527424,0.142
6,6,54.0,-115.6,0.02,3.3514666666666666e-05,2.4,71610.43921069382,270.7175424,2.4
7,7,56.2167,-74.5,18.0,24432.192,5.0,204.6480315806293,100041.32265984,7.42
8,8,47.2,72.7,1.4,11.495530666666662,2.95,256.6214719042115,7333.64224,0.966
9,9,-32.7167,24.4333,0.32,0.1372760746666666,2.4,17483.017385423296,1332.7208448,0.7100000000000001
10,10,44.1167,109.65,0.65,1.1504956666666666,2.95,2564.112221775716,2980.51043328,0.692
11,11,48.75,32.1667,12.0,7239.168,2.95,407.50539288492826,68701.76104448,7.279999999999999
12,12,22.0167,26.0833,0.0225,4.771912499999999e-05,2.4,50294.30024125548,311.94968064,1.5
13,13,48.4333,40.5333,1.5,14.139,2.4,169.74326331423725,7401.4949376,0.966
14,14,35.0333,-111.0167,0.59,0.8604010906666665,2.4,2789.39674302412,2533.37468928,0.5640000000000001
15,15,31.75,-102.4833,0.08,0.0021449386666666,2.4,1118.913112667091,269.53613312,0.0868
16,16,63.0333,21.5833,3.3,150.55207199999998,2.95,19594.549319786183,18087.378944,2.72
17,17,-20.9167,134.8333,10.0,4189.333333333333,5.0,1193.5073201782309,62483.33312,4.26
18,18,-34.6167,139.0667,5.0,523.6666666666666,2.65,5060.471037555697,29586.42905088,3.5200000000000005
19,19,62.1333,24.6,15.0,14138.999999999998,2.95,208.64276115708327,100041.32265984,7.279999999999999
20,20,25.3167,24.3333,1.0,4.189333333333333,2.4,572.8835136855507,4639.57491712,0.904
21,21,-7.7167,-46.65,2.25,47.719125,2.4,50294.30024125547,12223.05120256,2.64
22,22,-27.1167,142.8333,27.5,87125.04166666666,5.0,57.388781736594105,100041.27023104,10.84
23,23,61.4,22.4,3.0,113.112,5.0,44203.97482141594,16086.92137984,3.7
24,24,46.0833,-78.4833,1.9,28.73463733333333,2.95,102.66355429438052,9327.37253376,0.988
25,25,-24.5667,133.1333,0.075,0.0017673749999999,2.4,1357.946106513898,248.5134336,0.093
26,26,57.9667,27.4167,0.04,0.0002681173333333,2.4,8951.304901336727,228.21527552,0.274
27,27,62.7,28.1667,2.0,33.51466666666666,2.95,88021.16486314451,11384.9532416,3.28
28,28,21.3333,-89.5,75.0,1767374.9999999998,5.0,2.8290543885706207,100041.27023104,23.2
29,29,61.0333,14.8667,26.0,73631.72266666665,5.0,67.90551434787385,100041.27023104,10.24
30,30,49.7167,-74.8,12.0,7239.168,2.95,407.50539288492826,68701.76104448,7.279999999999999
31,31,-22.9667,125.3667,0.04,0.0002681173333333,2.4,8951.304901336727,228.21527552,0.274
32,32,58.45,-109.5,19.5,31063.383,5.0,160.9612191949602,100049.75321088,7.42
33,33,40.35,123.45,0.9,3.054024,5.0,1637.1842526450348,4348.54658048,0.904
34,34,-27.6333,-61.7,0.025,6.545833333333334e-05,5.0,76384.46849140673,270.7175424,2.84
35,35,49.1667,57.85,2.75,87.12504166666666,2.4,27546.615233565168,16073.36722432,2.62
36,36,-16.6667,-69.05,0.00675,1.2884163749999998e-06,2.4,1862751.86078724,3749987.9555072,27.8
37,37,49.7,-110.5,5.0,523.6666666666666,2.4,4583.068109484406,29610.17667584,3.5200000000000005
38,38,60.65,9.0,2.5,65.45833333333333,2.95,45066.83640992999,12600.4559872,2.72
39,39,60.1,117.5833,0.15,0.0141389999999999,2.4,169.74326331423725,549.74242816,0.128
40,40,36.25,-98.2,8.0,2144.9386666666664,5.0,2331.0689847231065,41297.67555072,4.26
